hour,day_of_week,month,CO_lag1,CO_lag2,NOx_lag1,NOx_lag2,C6H6_lag1,C6H6_lag2,CO_rolling_mean,CO_rolling_std,NOx_rolling_mean,NOx_rolling_std,C6H6_rolling_mean,C6H6_rolling_std,PT08.S1(CO),PT08.S3(NOx),PT08.S4(NO2),PT08.S5(O3)
20,2,3,2.0,2.6,103.0,166.0,9.397164889581603,11.881723488680304,2.266666666666667,0.3055050463303892,133.33333333333334,31.564748269760262,10.092235083196234,1.5625528070892347,1402.0,1140.0,1554.5,1074.0
21,2,3,2.2,2.0,131.0,103.0,8.997816871326798,9.397164889581603,2.1333333333333333,0.11547005383792454,135.33333333333334,34.70350606687072,9.207926060771891,0.20049037105506395,1375.5,1092.0,1583.75,1203.25
22,2,3,2.2,2.2,172.0,131.0,9.228796421407274,8.997816871326798,2.0000000000000004,0.34641016151377524,144.66666666666666,23.67136103677465,8.248278987269403,1.5027163541901813,1272.25,1205.0,1490.0,1110.0
23,2,3,1.6,2.2,131.0,172.0,6.518223669074141,9.228796421407274,1.6666666666666667,0.5033222956847164,130.66666666666666,41.501004003919384,6.829344150986721,2.2600107091764827,1197.0,1336.5,1393.0,949.25
0,3,3,1.2,1.6,89.0,131.0,4.741012362478748,6.518223669074141,1.3333333333333333,0.2309401076758491,94.0,34.77067730142739,4.961211740450135,1.4594248366255123,1185.0,1461.75,1332.75,732.5
1,3,3,1.2,1.2,62.0,89.0,3.624399189797516,4.741012362478748,1.1333333333333333,0.1154700538379218,71.0,15.5884572681198,3.8973628479790214,0.7456326201974843,1136.25,1453.25,1332.75,729.5
2,3,3,1.0,1.2,62.0,62.0,3.3266769916608,3.624399189797516,1.0333333333333334,0.15275252316519194,56.333333333333336,9.814954576223457,3.096830792181675,0.6726197147982251,1094.0,1579.0,1276.0,619.5
3,3,3,0.9,1.0,45.0,62.0,2.3394161950867094,3.3266769916608,0.8333333333333334,0.20816659994661119,117.96041720653018,111.97180966350324,2.454250481466277,0.8210544764519,1009.75,1705.0,1234.75,501.25
4,3,3,0.6,0.9,246.88125161959056,45.0,1.6966582576513225,2.3394161950867094,1.217583181304839,0.8236516826410669,104.29375053986352,124.06609769844809,1.7765647367033768,0.527457421343207,1011.0,1817.5,1196.75,445.25
5,3,3,2.152749543914517,0.6,21.0,246.88125161959056,1.2936197573720989,1.6966582576513225,1.1509165146381723,0.8690523942270466,94.62708387319685,131.87967507205286,1.3745695287370931,0.29020855571948867,1066.0,1918.0,1182.0,421.75
6,3,3,0.7,2.152749543914517,16.0,21.0,1.1334305711878574,1.2936197573720989,1.1842498479715056,0.8387453402441519,23.666666666666668,9.291573243177568,1.3436060694295877,0.23911978064607886,1051.75,1738.25,1221.25,471.5
7,3,3,0.7,0.7,34.0,16.0,1.6037678797288073,1.1334305711878574,0.8333333333333334,0.2309401076758488,49.333333333333336,43.096790290383964,1.9936055327422457,1.1077919246796386,1144.0,1489.75,1339.0,729.75
8,3,3,1.1,0.7,98.0,34.0,3.2436181473100727,1.6037678797288073,1.2666666666666666,0.6658328118479385,102.0,70.08566187174092,4.287053004709832,3.3299562452574007,1333.25,1136.0,1517.0,1101.5
9,3,3,2.0,1.1,174.0,98.0,8.013772987090615,3.2436181473100727,1.7666666666666666,0.5859465277082305,133.66666666666666,38.214307966170644,6.93267801990697,3.2847686386975274,1351.0,1079.0,1582.75,1027.75
10,3,3,2.2,2.0,129.0,174.0,9.540642925320222,8.013772987090615,1.9666666666666668,0.251661147842356,138.33333333333334,32.03643758805485,7.963399449877886,1.603023957082515,1233.25,1218.0,1445.75,859.75
